Feature,Importance,Absolute
PC20,0.5370968426536874,0.5370968426536874
PC13,-0.4618117456519279,0.4618117456519279
PC23,-0.40990687156723143,0.40990687156723143
PC15,0.31884996977696795,0.31884996977696795
PC10,0.254511556706504,0.254511556706504
PC14,-0.22367970974294535,0.22367970974294535
PC22,-0.1842022460418246,0.1842022460418246
PC11,0.16540182884731122,0.16540182884731122
PC18,0.14404403896522214,0.14404403896522214
PC5,0.14169348583291885,0.14169348583291885
PC19,-0.1394544389918063,0.1394544389918063
PC21,-0.10914642781643909,0.10914642781643909
PC8,-0.0815916880807409,0.0815916880807409
PC16,-0.07918188777902391,0.07918188777902391
PC17,-0.07745170887108264,0.07745170887108264
PC12,-0.07723399612840107,0.07723399612840107
PC24,-0.07460030648765366,0.07460030648765366
PC7,-0.07101080015916568,0.07101080015916568
PC3,0.04350571545018676,0.04350571545018676
PC9,-0.03945082439079397,0.03945082439079397
PC1,-0.035275431683040225,0.035275431683040225
PC2,-0.029249396071735583,0.029249396071735583
PC6,-0.013616685883583989,0.013616685883583989
PC4,0.012514251832149008,0.012514251832149008
