Feature,Importance
MonthsInService,734.0
MonthlyMinutes,687.0
UniqueSubs,264.0
HandsetPrice,204.0
HandsetWebCapable,177.0
BuysViaMailOrder,150.0
ActiveSubs,126.0
RetentionOffersAccepted,100.0
PrizmCode_Town,32.0
Occupation_Clerical,6.0
