Feature,Importance
PC23,969.0
PC13,721.0
PC20,672.0
PC15,634.0
PC10,628.0
PC14,568.0
PC11,551.0
PC22,485.0
PC8,472.0
PC21,446.0
PC9,425.0
PC16,422.0
PC24,407.0
PC5,401.0
PC2,395.0
PC12,377.0
PC18,371.0
PC6,368.0
PC17,358.0
PC3,358.0
PC19,345.0
PC7,337.0
PC4,319.0
PC1,318.0
